eventid,year,month,day,country_txt,region_txt,provstate,city,latitude,longitude,location,summary,alternative,alternative_txt,success,suicide,attacktype1_txt,attacktype2,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2,natlty2_txt,guncertain3,individual,nperps,weaptype1_txt
90,1986,9,29,United States,North America,Idaho,Coeur D'Alene,47.677755,-116.780419,,,,,0,0,Bombing/Explosion,,Military,Military Recruiting Station/Academy,,armed services recruitment office,United States,Aryan Nation,,,Explosives,14,Time Fuse,Explosive - timed
91,1986,9,29,United States,North America,Idaho,Coeur D'Alene,47.677755,-116.780419,,,,,1,0,Bombing/Explosion,,Business,Restaurant/Bar/Café,,Jax Restaurant,United States,Aryan Nation,,,Explosives,14,Time Fuse,Explosive - timed
92,1986,9,29,United States,North America,Idaho,Coeur D'Alene,47.677755,-116.780419,,,,,1,0,Bombing/Explosion,,Business,,,Gibbs Mercantile bldg,United States,Aryan Nation,,,Explosives,14,Time Fuse,Explosive - timed
93,1987,4,19,United States,North America,Montana,Missoula,46.87278,-113.996234,1 at unoccupied police vehicle parked outside Ciy Hall,"04/19/1987: A bomb explosion destroyed a 1984 unmarked, unoccupied police car, which was parked outside Missoula City Hall in Missoula, Montana, United States.  The blast also shattered windows in City Hall and other nearby buildings, but no injuries resulted from the incident.  About five minutes after the explosion, a male caller, claiming to be a member of the Aryan Nation white supremacist group, phoned an emergency number and claimed responsibility for the incident, stating that the group was tired of harassment from law enforcement agencies.",,,1,0,Bombing/Explosion,,Police,Police Patrol (including vehicles and convoys),Montana Police,"unoccupied police car in Missoula, Montana",United States,Aryan Nation,,"Suspected to be because white supremacist group, Aryan Nation, was tired of being harassed by law enforcement agencies",Explosives,16,Unknown Explosive Type,"the bomb type is unknown, but the explosive was placed underneath the car, and blew a hole about 18 inches square and 4 inches deep in the asphalt under the front passenger seat"
94,1990,6,10,United States,North America,Tennessee,Nashville,36.167783,-86.778365,,"6/10/1990:  Leonard William Armstrong, the head of the Tennessee White Knights of the Ku Klux Klan, and Damion Patton, a Skinhead, drove to the West End Synagogue in Nashville, Tennessee, United States, in the middle of the night, and Armstrong fired several shots into the Jewish temple; however, it is unknown if there were any damages.",,,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,West End Synagogue,Jewish temple in Nashville Tennessee,United States,Ku Klux Klan,,To intimidate Jews,Firearms,3,Handgun,tech 9mm assault pistol
95,1994,10,16,United States,North America,Texas,Lubbock,33.577858,-101.854814,Martin Luther King Blvd.,"10/16/1994:  In a series of three related attacks, Roy Ray Martin, El Trevino Muniga, and Ricky Rivera Muniga lured Melvin Johnson, an African American, to their car in Lubbock, Texas, United States and shot him.  Melvin Johnson died from his wounds.  The perpetrators hoped to incite a race war.",2,Other Crime Type,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Black person,African American in Lubbock Texas,United States,Neo-Nazi extremists,,The perpetrators believed that life would be better without Black people.  They hoped that their actions would initiate a race war that would incite others to kill Black people.,Firearms,4,Rifle/Shotgun (non-automatic),Sawed off shotgun
96,1994,10,16,United States,North America,Texas,Lubbock,33.577858,-101.854814,Martin Luther King Blvd.,"10/16/1994:  In a series of three related attacks, Roy Ray Martin, El Trevino Muniga, and Ricky Rivera Muniga lured Autry Morgan Vaughn Jr., an African American, to their car in Lubbock, Texas, United States and shot him.  Autry Morgan Vaughn Jr. was wounded in the jaw but survived.  The perpetrators hoped to incite a race war.",2,Other Crime Type,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Black person,African American in Lubbock Texas,United States,Neo-Nazi extremists,,The perpetrators believed that life would be better without Black people.  They hoped that their actions would initiate a race war that would incite others to kill Black people.,Firearms,4,Rifle/Shotgun (non-automatic),Sawed off shotgun
97,1994,10,16,United States,North America,Texas,Lubbock,33.577858,-101.854814,Martin Luther King Blvd.,"10/16/1994:  In a series of three related attacks, Roy Ray Martin, El Trevino Muniga, and Ricky Rivera Muniga lured Triellis Lee Stewart, an African American, to their car in Lubbock, Texas, United States and shot him.  Triellis Lee Stewart was shot in the hand and had a finger amputated.  The perpetrators hoped to incite a race war.",2,Other Crime Type,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Black person,African American in Lubbock Texas,United States,Neo-Nazi extremists,,The perpetrators believed that life would be better without Black people.  They hoped that their actions would initiate a race war that would incite others to kill Black people.,Firearms,4,Rifle/Shotgun (non-automatic),Sawed off shotgun
98,1995,6,20,United States,North America,South Carolina,Greeleyville,33.577784,-79.988963,,"6/20/1995: Two members of the Christian Knights of the Ku Klux Klan set fire to the Mount Zion African Methodist Episcopal Church in Greeleyville, South Carolina, United States.  The Black Baptist church was completely destroyed.",,,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Black Baptist church in South Carolina,"Mount Zion African Methodist Episcopal Church, Greeleyville South Carolina",United States,Ku Klux Klan,,"The Christian Knights of the Ku Klux Klan believed that African Americans were attempting to destroy the United States and plotted to overthrow the government in their churches.  Moreover, the perpetrators hoped that by burning down Black Baptist churches they would initiate a race war.",Incendiary,18,Arson/Fire,"A cigarette lighter used to set fire to baskets, hymnals, and wooden chairs in the church."
99,1995,6,21,United States,North America,South Carolina,Manning,33.60939,-80.209839,,"6/21/1995: Two members of the Christian Knights of the Ku Klux Klan set fire to the Macedonia Baptist Church in Bloomville, South Carolina, United States.  The Black Baptist church was completely destroyed.",,,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Black Baptist church in South Carolina,"Macedonia Baptist Church, Bloomville South Carolina",United States,Ku Klux Klan,,"The Christian Knights of the Ku Klux Klan believed that African Americans were attempting to destroy the United States and plotted to overthrow the government in their churches.  Moreover, the perpetrators hoped that by burning down Black Baptist churches they would initiate a race war.",Incendiary,20,Gasoline or Alcohol,A liquid accelerant developed using gasoline and chain-saw oil.  The liquid was poured on the floor of the church and set on fire.
100,1996,4,29,United States,North America,Washington,Spokane,47.65878,-117.426047,,,,,1,0,Bombing/Explosion,,Government (General),Government Building/Facility/Office,,City Hall,United States,White extremists,,,Explosives,16,Unknown Explosive Type,Explosive
101,1996,10,3,United States,North America,California,Lancaster,34.698905,-118.144779,1255 W. Avenue I,"10/3/1996: Geoffrey Barr bombed the Back Door Bar, a gay establishment, in Lancaster, California, United States.  One person was injured and the bar sustained minor damage.",2,Other Crime Type,1,0,Bombing/Explosion,,Business,Restaurant/Bar/Café,Gay establishment,"Back Door Bar, Lancaster California",United States,White extremists,,Hatred of homosexuals.,Explosives,16,Unknown Explosive Type,Explosive device
102,1999,7,1,United States,North America,California,Redding,40.587515,-122.392934,Happy Valley,"7/1/1999: Mathew Williams and Tyler Williams broke into the home of Gary Matson and Winfield Scott Mowder, an openly gay couple in Redding, California, United States.  The Williams brothers shot and killed Matson and Mowder and stole Matson's credit card and car.  Mathew and Tyler Williams were both affiliated with the Christian Identity movement and shared views that Blacks, Homosexuals, and Jews were subhuman and needed to be eliminated for the survival of the White race.",,,1,0,Armed Assault,,Private Citizens & Property,Named Civilian,Homosexuals,Gary Matson and Winfield Scott Mowder,United States,White extremists,,"Mathew and Tyler Williams were both affiliated with the Christian Identity movement and shared views that Blacks, Homosexuals, and Jews were subhuman and needed to be eliminated for the survival of the White race.  Mathew Williams further claimed that he hoped that other Whites would be motivated by this incident to kill gay people.",Firearms,3,Handgun,.22 caliber semi-automatic handgun
103,1999,7,2,United States,North America,California,Sacramento,38.579065,-121.491014,,"7/2/1999: Benjamin Matthew Williams and James Tyler Williams broke into the Choice Medical Clinic in Sacramento, California, United States and ignited a fire.  There were no casualties but the abortion clinic sustained $100,000 in damages.",,,1,0,Facility/Infrastructure Attack,,Abortion Related,Clinics,,Choice Medical Clinic,United States,White extremists,,"To protest the practice of abortion and to sabotage abortion facilities operating in California.  Moreover, Mathew and Tyler Williams were both affiliated with the Christian Identity movement and shared views that Blacks, Homosexuals, and Jews were subhuman and needed to be eliminated for the survival of the White race.",Incendiary,19,Molotov Cocktail/Petrol Bomb,"Flammable liquid poured into the facility and ignited on fire.  Aso, Molotov cocktails were thrown at the facility."
104,1999,8,10,United States,North America,California,Granada Hills,34.097866,-118.407379,,"08/10/1999: A gunman armed with a submachine gun opened fire in the lobby of the North Valley Jewish Community Center in Granada Hills, California, U.S.A., injuring five people. Buford O'Neal Furrow Jr. surrendered to authorities in Las Vegas, Nevada and reportedly told police authorities that he intended the attack as ""a wake-up call to America to kill Jews.""",2,Other Crime Type,1,0,Armed Assault,,Religious Figures/Institutions,Affiliated Institution,Judaism,"The North Valley Jewish Community Center in Granada Hills, California",United States,Aryan Nation,,He wanted to provoke other Americans into killing Jewish individuals.,Firearms,2,Automatic or Semi-Automatic Rifle,
105,1999,8,31,United States,North America,Florida,Tallahassee,30.439775,-84.280649,,"08/31/1999: Shortly before 1:00 pm local time, a bomb exploded in the first floor men's room of Lee Hall at Florida Agricultural and Mechanical (A & M) University in Tallahassee, Florida, U.S.A.. The explosion was very minor an caused little damage, but authorities suspected that the device malfunctioned and was potentially capable of causing significant damage. An unidentified caller phoned a news station with a racially charged tirade and claimed responsibility for the attack.",2,Other Crime Type,0,0,Bombing/Explosion,,Educational Institution,School/University/Educational Building,Florida Agricultural and Mechanical (A & M) University,"Florida Agricultural and Mechanical (A & M) University's Lee Hall in Tallahassee, Florida",United States,White extremists,,The bomber was racially motivated.,Explosives,16,Unknown Explosive Type,
106,1999,9,23,United States,North America,Florida,Tallahassee,30.439775,-84.280649,,"09/23/1999: Shortly before 12:00 pm local time, a bomb exploded on the second floor of Perry-Paige Hall at Florida Agricultural and Mechanical (A & M) University in Tallahassee, Florida, U.S.A.. The explosion damaged a bathroom and several light fixtures, but caused no casualties. An unidentified caller phoned a news station with a racially charged tirade and claimed responsibility for the attack.",2,Other Crime Type,1,0,Bombing/Explosion,,Educational Institution,School/University/Educational Building,Florida Agricultural and Mechanical (A & M) University,"Perry-Paige Hall at Florida Agricultural and Mechanical (A & M) University in Tallahassee, Florida",United States,White extremists,,The bomber was racially motivated.,Explosives,14,Time Fuse,
107,2003,11,18,United States,North America,Indiana,Terre Haute,39.450214,-87.413382,,"11/18/2003: Unknown perpetrators set fire to CANDLES, a Holocaust memorial museum in Terre Haute, Indiana, United States.  There were no casualties but the entire building was gutted by the blaze.  On the side of the building ""remember Timmy McVeigh"" was written on the wall.  Timothy McVeigh was executed in a federal prison near Terre Haute in 2001.",,,1,0,Facility/Infrastructure Attack,,Business,,Holocaust Memorial Museum,"CANDLES, Terre Haute Indiana",United States,White extremists,,,Incendiary,20,Gasoline or Alcohol,A brick was thrown through the main glass door followed by an incendiary
108,2004,4,1,United States,North America,Oklahoma,Oklahoma City,35.472015,-97.520354,,"4/1/2004: Attempting to initiate a race war, Sean Gillespie hurled a Molotov cocktail at Temple B'nai Israel in Oklahoma City, Oklahoma, United States.  There were no casualties but the building sustained minor damages.",,,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Synagogue,"Temple B'nai Israel, Oklahoma City",United States,White extremists,,Sean Gillespie hoped that his actions would initiate a race war that would incite others to attack Jews.,Incendiary,19,Molotov Cocktail/Petrol Bomb,Molotov cocktail
109,2008,2,9,United States,North America,Tennessee,Columbia,35.615725,-87.035447,,"02/09/2008:  Three men fire-bombed a mosque in Columbia, Tennessee. The messages ‘White power’ and ‘we run the world’, as well as a swastika, were sprayed on the walls. No groups have claimed responsibility for the attack.",2,Other Crime Type,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Islamic Mosque,Islamic Center of Columbia,United States,Neo-Nazi extremists,,Unknown,Incendiary,20,Gasoline or Alcohol,"Fire was set using gasoline, rags and empty beer bottles."
110,2008,5,26,United States,North America,Oregon,Medford,42.32356,-122.875614,"The incident occurred at a house on the corner of Benson and Prune streets in Medford, Oregon, United States.","05/26/2008: On Monday, at 2300, three assailants left an IED on a yard in Medford, Oregon, United States. The letters ""KKK"" and a cross were also burned into the grass. No casualties were reported. David Moss and Devin Klauseger were arrested and charged in connection with the attack.",,,1,0,Facility/Infrastructure Attack,,Private Citizens & Property,House/Apartment/Residence,,The yard of a civilian family,United States,Ku Klux Klan,,The specific motive for the attack is unknown.,Incendiary,18,Arson/Fire,Fire was used to burn the grass.
111,2008,11,14,United States,North America,California,Hemet,33.74937,-116.967889,The attack took place at the Jackson Mobile Home Park on South Elk Street of Hemet.,"11/14/2008: On Friday, a Hispanic teen was beaten to near death in the Jackson Mobile Home Park, on South Elk Street of Hemet, California. Four white supremacist gang members have been arrested and charged with the beating: Justin Tyme Hayes, 21, Derek Shane O'Brien, 22, Darrin Peter Thibault, 24, and Crystal Lee McCann, 22.",2,Other Crime Type,1,0,Unarmed Assault,,Unknown,,,"A Hispanic teen was beaten to near death in the Jackson Mobile Home Park, on South Elk Street of Hemet, California.",Mexico,Neo-Nazi extremists,"COORS Family Skins criminal street gang (Hemet, California)",The specific motive for the attack is unknown.,Melee,22,"Hands, Feet, Fists","Hands, feet and fists were used in the melee attack."
112,2012,5,20,United States,North America,Virginia,Axton,36.659582,-79.711978,,"05/20/2012: Assailants set fire to the New Holy Deliverance Outreach Ministry in Axton, Virginia, United States. There were no reported casualties in the attack. An individual, identified as Jean-Claude Bridges, claimed responsibility for the incident and stated that he targeted the church because the congregation was predominantly African American.",,,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,New Holy Deliverance Outreach Ministry,Church,United States,White extremists,,"An individual, identified as Jean-Claude Bridges, claimed responsibility for the incident and stated that he targeted New Holy Deliverance Outreach Ministry because the church's congregation was predominantly African American.",Incendiary,18,Arson/Fire,
113,2012,8,5,United States,North America,Wisconsin,Oak Creek,42.88585,-87.863136,The incident occurred 15km south of Milwaukee,"08/05/2012: Wade Michael Page attacked a Sikh temple in Oak Creek, Wisconsin, United States. At least six people were killed and four others wounded before Page was shot by a responding police officer and subsequently died from a self-inflicted gunshot wound. No group claimed responsibility for the incident; however, the assailant was a member of a white supremacist organization.",,,1,0,Armed Assault,,Religious Figures/Institutions,Place of Worship,Sikh Temple of Wisconsin,Sikh Temple,United States,White extremists,,,Firearms,5,Unknown Gun Type,
114,2014,4,13,United States,North America,Kansas,Overland Park,38.982228,-94.670792,,"04/13/2014: An assailant opened fire on civilians outside a Jewish community center in Overland Park, Kansas, United States. At least two people were killed in the assault. This was one of two attacks carried out by the same assailant within a few minutes. Frazier Glenn Cross claimed responsibility for the incidents and stated that he intended to target members of the Jewish community.",,,1,0,Armed Assault,,Religious Figures/Institutions,Affiliated Institution,Jewish Community Center of Greater Kansas City,Community Center,United States,White extremists,,"An unaffiliated individual, identified as Frazier Glenn Cross, claimed responsibility for the incident and stated that he intended to target members of the Jewish community in the attack.",Firearms,3,Handgun,A Remington 870 shotgun and a handgun were used in the attack.
115,2014,4,13,United States,North America,Kansas,Overland Park,38.982228,-94.670792,,"04/13/2014: An assailant opened fire on civilians outside a Jewish retirement home in Overland Park, Kansas, United States. At least one person was killed in the assault. This was one of two attacks carried out by the same assailant within a few minutes. Frazier Glenn Cross claimed responsibility for the incidents and stated that he intended to target members of the Jewish community.",,,1,0,Armed Assault,,Religious Figures/Institutions,Affiliated Institution,Village Shalom,Jewish Retirement Home,United States,White extremists,,"An unaffiliated individual, identified as Frazier Glenn Cross, claimed responsibility for the incident and stated that he intended to target members of the Jewish community in the attack.",Firearms,3,Handgun,A Remington model 870 shotgun and a handgun were used in the attack.
116,2015,6,17,United States,North America,South Carolina,Charleston,32.787474,-79.933101,,"06/17/2015: An assailant opened fire on parishioners at Emanuel African Methodist Episcopal Church in Charleston, South Carolina, United States. At least nine people were killed in the attack. An individual, identified as Dylann Roof, claimed responsibility for the incident.",,,1,0,Armed Assault,,Religious Figures/Institutions,Place of Worship,Emanuel African Methodist Episcopal Church,Church,United States,White extremists,,"The specific motive is unknown; however, sources posited that Dylann Roof intended to start a ""race war"" within the United States (US).",Firearms,3,Handgun,A .45-caliber pistol was used in the attack.
117,2016,2,18,United States,North America,Indiana,Nashville,39.207489,-86.246998,,"02/18/2016: An assailant armed with a hatchet attacked Zhang Yue, an 18-year-old Chinese exchange student, in Nashville, Indiana, United States. Yue was injured in the assault. Authorities arrested Dana Ericson, who confessed to the attack, self-identified as a white supremacist, and indicated that his goal was ethnic cleansing. In court Ericson stated that he was ""trying to start a revolution.""",4,Lack of Intentionality,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Not Applicable,Chinese Civilian: Zhang Yue,China,White extremists,,"An unaffiliated individual, identified as Dana Ericson, claimed responsibility for the incident and stated that he targeted Zhang Yue because she was Asian and that he intended to carry out ""ethnic cleansing.""",Melee,23,Knife or Other Sharp Object,A hatchet was used in the attack.
118,2016,2,28,United States,North America,California,Lake Los Angeles,34.605975,-117.829953,The incident occurred at Stephen Sorensen Park.,"02/28/2016: Three assailants armed with knives attacked a group of Hispanic teenagers playing soccer at Stephen Sorensen Park in Lake Los Angeles, California, United States. At least two people suffered minor injuries in the assault. The three assailants, identified as Ian Justine Plankey, Richard Lawrence Daulton, and Kevin Matthew Stewart, were arrested following the incident. During the attack, they shouted white supremacist statements and racial slurs, including ""Heil Hitler, AV Skins.""",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Not Applicable,Hispanic Civilians,United States,White extremists,,"The specific motive is unknown; however, sources noted that the three assailants yelled ""Heil Hitler, AV skins,"" during the attack.",Melee,23,Knife or Other Sharp Object,Knives were used in the attack.
119,2017,2,6,United States,North America,,Manchester,42.993611,-71.486401,The incident occurred in the Notre Dame neighborhood.,"02/06/2017: Assailants robbed and set fire to the Rodriguez Market and Restaurant in Notre Dame neighborhood, Manchester, New Hampshire, United States. There were no reported casualties in the attack. In a note left at the scene, the assailants spray-painted ""KKK"" (Ku Klux Klan) on the targeted business.",,,1,0,Facility/Infrastructure Attack,,Business,Retail/Grocery/Bakery,Rodriguez Market and Restaurant,Store,United States,Ku Klux Klan,,"In a note left at the scene, assailants spray-painted ""KKK"" on the targeted business.",Incendiary,18,Arson/Fire,
120,2017,2,9,United States,North America,Mississippi,Jackson,32.298757,-90.18481,,"02/09/2017: Assailants attempted to set fire to the house of Stanley Wesley, the leader of the Respect Our Black Dollars activist group, in Jackson, Mississippi, United States. There were no reported casualties, but the residence was damaged in the attack. In a note and graffiti left at the scene, the assailants identified themselves as members of the Ku Klux Klan.",,,1,0,Facility/Infrastructure Attack,,Private Citizens & Property,Labor Union Related,Respect Our Black Dollars,Residence of Leader: Stanley Wesley,United States,Ku Klux Klan,,"In a note left at the scene, assailants identified themselves as members of the Ku Klux Klan and stated, ""You Took my Flag, Pay Back.""",Incendiary,18,Arson/Fire,
121,2017,2,22,United States,North America,Kansas,Olathe,38.853889,-94.781111,,"02/22/2017: An assailant opened fire on two Indian civilians at a bar in Olathe, Kansas, United States. Srinivas Kuchibhotla was killed and Alok Madasani was injured in the attack. In addition, Ian Grillot, a United States citizen, was shot and injured when he tried to intervene. Adam W. Purinton, a white extremist, claimed responsibility for the incident and stated that he had killed ""two Middle Eastern persons."" Moreover, prior to the attack Purinton screamed ""get out of my country"" at the victims.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Not Applicable,"Indian Civilians: Srinivas Kuchibhotla, Alok Madasani,",India,White extremists,,"An unaffiliated individual, identified as Adam W. Purinton, claimed responsibility for the incident and stated that he had killed ""two Middle Eastern persons."" Moreover, prior to the attack Purinton screamed ""get out of my country"" to the victims.",Firearms,3,Handgun,A handgun was used in the attack.
122,2017,3,20,United States,North America,New York,New York City,40.697132,-73.931351,The incident occurred in Chelsea.,"03/20/2017: An assailant stabbed Timothy Caughman with a sword in Chelsea neighborhood, New York City, United States. Caughman, an African-American civilian, was killed in the attack. James Harris Jackson, a white extremist, claimed responsibility for the incident and stated that he targeted Caughman in order to persuade white women against interracial relationships.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Not Applicable,African American Civilian: Timothy Caughman,United States,White extremists,White supremacists,"James Harris Jackson, a white extremist, claimed responsibility for the incident and stated that he targeted Caughman in order to persuade white women against interracial relationships.",Melee,23,Knife or Other Sharp Object,A sword with an 18-inch blade was used in the attack.
123,2017,4,24,United States,North America,California,Vacaville,38.354542,-121.989794,The incident occurred along William street.,"04/24/2017: Assailants set fire to a vehicle in Vacaville, California, United States. There were no reported casualties, but the vehicle was damaged in the attack. In a note left at the scene, the assailants spray-painted ""KKK"" (Ku Klux Klan) on the targeted vehicle.",,,1,0,Facility/Infrastructure Attack,,Private Citizens & Property,Vehicles/Transportation,Not Applicable,Vehicle,United States,Ku Klux Klan,,"In a note left at the scene, assailants spray-painted ""KKK"" on the targeted vehicle.",Incendiary,18,Arson/Fire,
124,2017,8,12,United States,North America,Virginia,Charlottesville,38.029474,-78.479616,The incident occurred at the intersection of 4th Street and Water Street.,"08/12/2017: An assailant drove his vehicle into a crowd of counter-protesters at the intersection of 4th Street and Water Street in Charlottesville, Virginia, United States. One person, identified as Heather D. Heyer, was killed and 19 people were injured in the assault. No group claimed responsibility for the incident; however, police arrested James Alex Fields Jr., a neo-Nazi extremist, in connection with the attack.",,,1,0,Unarmed Assault,,Private Citizens & Property,Protester,Unknown,Counter-protesters,United States,Neo-Nazi extremists,,,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,A silver Dodge Challenger was used in the attack.
125,2017,9,11,United States,North America,Louisiana,Baton Rouge,30.451468,-91.187147,,"09/11/2017: An assailant fired shots through the front door and living room of a home in Baton Rouge, Louisiana, United States. Two men were home at the time of the attack, but no one was injured. Kenneth James Gleason, a white extremist, was arrested and charged in connection with this attack and two similar incidents in Baton Rouge in the same week. Police believe the attacks were racially motivated. He pleaded not guilty in December 2017.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Unknown,House of Black Civilians,United States,White extremists,,"The specific motive is unknown; however, sources suspected that the attack was racially motivated.",Firearms,5,Unknown Gun Type,
126,2017,9,12,United States,North America,Louisiana,Baton Rouge,30.449998,-91.154152,The incident occurred in the 3400 block of Florida Street.,"09/12/2017: An assailant shot and killed Bruce Cofield, 59, on the 3400 block of Florida Street in Baton Rouge, Louisiana, United States. The perpetrator first fired from inside a car, and then exited the vehicle and continued to fire. Kenneth James Gleason, a white extremist, was arrested and charged in connection with this attack and two similar incidents in Baton Rouge in the same week. Police believe the attacks were racially motivated. He pleaded not guilty in December 2017.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Not Applicable,Black Civilian: Bruce Cofield,United States,White extremists,,"The specific motive is unknown; however, sources suspected that the attack was racially motivated.",Firearms,5,Unknown Gun Type,
127,2017,9,14,United States,North America,Louisiana,Baton Rouge,30.420015,-91.184493,The incident occurred in the 3000 block of Alaska Street.,"09/14/2017: An assailant shot and killed Donald Smart 49, on the 3000 block of Alaska Street in Baton Rouge, Louisiana, United States. The perpetrator first fired from inside a car, and then exited the vehicle and continued to fire. Kenneth James Gleason, a white extremist, was arrested and charged in connection with this attack and two similar incidents in Baton Rouge in the same week. Police believe the attacks were racially motivated. He pleaded not guilty in December 2017.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Not Applicable,Black Civilian: Donald Smart,United States,White extremists,,"The specific motive is unknown; however, sources suspected that the attack was racially motivated.",Firearms,5,Unknown Gun Type,
128,2017,10,8,United States,North America,Washington,Spokane,47.679135,-117.402209,The incident occurred at the 2400 block of North Wiscomb Street.,"10/08/2017: Around 11:00 p.m.m two assailants shouting racial slurs and white supremacist statements attacked a black man in Spokane, Washington, United States. The assailants attacked Norris Cooley, pointed a handgun at him, and fired at least six shots into Cooley's occupied home. The two unaffiliated individuals, identified as Jason Edward Cooper and Donald Lucas Prichard, white extremists, claimed responsibility for the incident and stated racial slurs during the attack.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Not Applicable,Black Civilian: Norris Cooley,United States,White extremists,,"Two unaffiliated individuals, identified as Jason Edward Cooper; Donald Lucas Prichard, claimed responsibility for the incident and stated racial slurs during the attack.",Firearms,3,Handgun,A pistol was used in the attack.
129,2017,10,22,United States,North America,Nebraska,Oxford,40.252274,-99.635072,The incident occurred near the Amtrak railway.,"10/22/2017: An assailant breached a secure area of an Amtrak passenger train, travelling from California to Missouri and triggered an emergency stop in Oxford, Nebraska, United States. There were no reported casualties, and the assailant, identified as Taylor Michael Wilson, was detained by Amtrak personnel. No group claimed responsibility for the incident; however, authorities stated that Wilson possessed neo-Nazi literature and had previously expressed an interest in ""killing black people.""",,,0,0,Armed Assault,,Transportation,Train/Train Tracks/Trolley,National Railroad Passenger Corporation (AMTRAK),Train,United States,White extremists,,"The specific motive is unknown; however, sources noted that Taylor Michael Wilson wanted to kill people of color.",Firearms,3,Handgun,A .38-caliber handgun and a knife were used in the attack.
130,2017,10,31,United States,North America,Louisiana,Richland Parish,32.419801,-91.763649,,"10/31/2017: An assailant set fire to the predominantly black St Paul Missionary Baptist Church in Richland Parish, Louisiana, United States. There were no reported casualties in the attack. No group claimed responsibility; however, sources identified the assailant as a white extremist.",,,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,St Paul Missionary Baptist Church,Church,United States,White extremists,,,Incendiary,20,Gasoline or Alcohol,Gasoline was used in the attack.
131,2017,12,7,United States,North America,New Mexico,Aztec,36.820666,-107.990818,,"12/07/2017: An assailant, identified as William Atchison, opened fire on students at Aztec High School in Aztec, New Mexico, United States. The assailant shot and killed two students and fired multiple shots at a locked classroom before shooting and killing himself. Statements Atchinson made in his suicide note and posted online reflect a fixation on mass shootings, as well as a misogynist and white supremacist narrative referenced in message forums where participants self-identify as ""involuntarily celibate"" (incel).",,,1,1,Armed Assault,,Educational Institution,School/University/Educational Building,Aztec High School,School,United States,White extremists,,"An unaffiliated individual, identified as William Atchison, claimed responsibility for the incident and made statements reflecting a fixation on mass shootings, as well as a misogynist and white supremacist narrative referenced in message forums where participants self-identify as ""involuntarily celibate.""",Firearms,3,Handgun,A 9-mm Glock handgun was used in the attack.
